"ID","condition","freq","amplitude","zscore","isMeterRel"
"1","H_unsyncopated","0.417","0.050252","-0.003387","1"
"1","H_unsyncopated","0.833","0.103952","0.85482","0"
"1","H_unsyncopated","1.25","0.146842","1.540263","1"
"1","H_unsyncopated","1.667","-0.019183","-1.113061","0"
"1","H_unsyncopated","2.083","0.012646","-0.604378","0"
"1","H_unsyncopated","2.5","0.015957","-0.551461","1"
"1","H_unsyncopated","2.917","0.027309","-0.370043","0"
"1","H_unsyncopated","3.333","0.008072","-0.677474","0"
"1","H_unsyncopated","3.75","0.120852","1.124906","0"
"1","H_unsyncopated","4.167","-0.013244","-1.018139","0"
"1","H_unsyncopated","4.583","0.0026","-0.764933","0"
"1","H_unsyncopated","5","0.149509","1.582887","1"
"2","H_unsyncopated","0.417","0.04429","-0.056755","1"
"2","H_unsyncopated","0.833","0.020704","-0.414622","0"
"2","H_unsyncopated","1.25","0.195471","2.237128","1"
"2","H_unsyncopated","1.667","-0.013577","-0.934772","0"
"2","H_unsyncopated","2.083","0.009672","-0.582017","0"
"2","H_unsyncopated","2.5","0.079188","0.47276","1"
"2","H_unsyncopated","2.917","0.035685","-0.187313","0"
"2","H_unsyncopated","3.333","-0.005372","-0.810276","0"
"2","H_unsyncopated","3.75","0.077967","0.454228","0"
"2","H_unsyncopated","4.167","0.000488","-0.721359","0"
"2","H_unsyncopated","4.583","-0.012312","-0.915587","0"
"2","H_unsyncopated","5","0.14416","1.458584","1"
"3","H_unsyncopated","0.417","0.099162","1.105681","1"
"3","H_unsyncopated","0.833","-0.044609","-1.33982","0"
"3","H_unsyncopated","1.25","0.012624","-0.366303","1"
"3","H_unsyncopated","1.667","-0.014423","-0.826359","0"
"3","H_unsyncopated","2.083","-0.018819","-0.901145","0"
"3","H_unsyncopated","2.5","0.079485","0.770993","1"
"3","H_unsyncopated","2.917","-0.0026","-0.625249","0"
"3","H_unsyncopated","3.333","0.004753","-0.500177","0"
"3","H_unsyncopated","3.75","0.127422","1.586381","0"
"3","H_unsyncopated","4.167","0.027069","-0.120591","0"
"3","H_unsyncopated","4.583","0.013431","-0.352567","0"
"3","H_unsyncopated","5","0.126409","1.569156","1"
"4","H_unsyncopated","0.417","0.079726","0.184951","1"
"4","H_unsyncopated","0.833","0.10242","0.468162","0"
"4","H_unsyncopated","1.25","0.295876","2.882421","1"
"4","H_unsyncopated","1.667","0.027891","-0.461931","0"
"4","H_unsyncopated","2.083","0.016331","-0.606194","0"
"4","H_unsyncopated","2.5","0.057191","-0.09627","1"
"4","H_unsyncopated","2.917","0.064196","-0.008849","0"
"4","H_unsyncopated","3.333","0.010077","-0.684232","0"
"4","H_unsyncopated","3.75","0.082029","0.213693","0"
"4","H_unsyncopated","4.167","0.007081","-0.721627","0"
"4","H_unsyncopated","4.583","-0.002318","-0.838924","0"
"4","H_unsyncopated","5","0.038366","-0.3312","1"
"5","H_unsyncopated","0.417","0.062305","0.438006","1"
"5","H_unsyncopated","0.833","0.065847","0.506693","0"
"5","H_unsyncopated","1.25","0.169061","2.50839","1"
"5","H_unsyncopated","1.667","-0.014402","-1.049635","0"
"5","H_unsyncopated","2.083","0.016434","-0.451603","0"
"5","H_unsyncopated","2.5","0.016645","-0.447516","1"
"5","H_unsyncopated","2.917","0.029552","-0.1972","0"
"5","H_unsyncopated","3.333","0.042813","0.059976","0"
"5","H_unsyncopated","3.75","0.07973","0.775928","0"
"5","H_unsyncopated","4.167","-0.011747","-0.998135","0"
"5","H_unsyncopated","4.583","-0.014451","-1.050582","0"
"5","H_unsyncopated","5","0.034857","-0.094323","1"
"6","H_unsyncopated","0.417","0.136065","1.777031","1"
"6","H_unsyncopated","0.833","0.013358","-0.64061","0"
"6","H_unsyncopated","1.25","0.116651","1.39453","1"
"6","H_unsyncopated","1.667","-0.010767","-1.115932","0"
"6","H_unsyncopated","2.083","0.027734","-0.357371","0"
"6","H_unsyncopated","2.5","0.019806","-0.513576","1"
"6","H_unsyncopated","2.917","-0.016279","-1.224532","0"
"6","H_unsyncopated","3.333","0.005322","-0.798934","0"
"6","H_unsyncopated","3.75","0.106449","1.193523","0"
"6","H_unsyncopated","4.167","0.05937","0.26594","0"
"6","H_unsyncopated","4.583","0.029656","-0.319496","0"
"6","H_unsyncopated","5","0.0631","0.339428","1"
"7","H_unsyncopated","0.417","-0.01254","-0.754268","1"
"7","H_unsyncopated","0.833","-0.023996","-0.976598","0"
"7","H_unsyncopated","1.25","0.112311","1.668855","1"
"7","H_unsyncopated","1.667","-0.009143","-0.688335","0"
"7","H_unsyncopated","2.083","-0.016175","-0.824808","0"
"7","H_unsyncopated","2.5","0.07917","1.025644","1"
"7","H_unsyncopated","2.917","-0.009514","-0.69554","0"
"7","H_unsyncopated","3.333","0.001765","-0.476638","0"
"7","H_unsyncopated","3.75","0.090046","1.23672","0"
"7","H_unsyncopated","4.167","0.008976","-0.336689","0"
"7","H_unsyncopated","4.583","-0.001319","-0.536495","0"
"7","H_unsyncopated","5","0.096302","1.358152","1"
"8","H_unsyncopated","0.417","0.132694","1.263175","1"
"8","H_unsyncopated","0.833","0.082467","0.237432","0"
"8","H_unsyncopated","1.25","0.160724","1.835603","1"
"8","H_unsyncopated","1.667","0.098948","0.574001","0"
"8","H_unsyncopated","2.083","0.076344","0.112392","0"
"8","H_unsyncopated","2.5","0.020769","-1.022572","1"
"8","H_unsyncopated","2.917","0.031714","-0.799057","0"
"8","H_unsyncopated","3.333","0.007029","-1.303182","0"
"8","H_unsyncopated","3.75","0.086803","0.325968","0"
"8","H_unsyncopated","4.167","0.041887","-0.591294","0"
"8","H_unsyncopated","4.583","0.011584","-1.210143","0"
"8","H_unsyncopated","5","0.099128","0.577677","1"
"9","H_unsyncopated","0.417","0.030192","-0.39074","1"
"9","H_unsyncopated","0.833","0.126553","1.102504","0"
"9","H_unsyncopated","1.25","0.06768","0.190191","1"
"9","H_unsyncopated","1.667","-0.022387","-1.205512","0"
"9","H_unsyncopated","2.083","0.002774","-0.815614","0"
"9","H_unsyncopated","2.5","0.02243","-0.511013","1"
"9","H_unsyncopated","2.917","0.049756","-0.087563","0"
"9","H_unsyncopated","3.333","0.009491","-0.711523","0"
"9","H_unsyncopated","3.75","0.142587","1.350969","0"
"9","H_unsyncopated","4.167","0.03872","-0.258578","0"
"9","H_unsyncopated","4.583","0.008239","-0.730932","0"
"9","H_unsyncopated","5","0.188846","2.067811","1"
"10","H_unsyncopated","0.417","0.170214","1.846344","1"
"10","H_unsyncopated","0.833","0.002549","-0.632979","0"
"10","H_unsyncopated","1.25","0.181331","2.010739","1"
"10","H_unsyncopated","1.667","-0.028758","-1.095936","0"
"10","H_unsyncopated","2.083","0.000301","-0.666223","0"
"10","H_unsyncopated","2.5","0.037154","-0.121265","1"
"10","H_unsyncopated","2.917","0.04018","-0.076526","0"
"10","H_unsyncopated","3.333","-0.006916","-0.77294","0"
"10","H_unsyncopated","3.75","0.050684","0.07881","0"
"10","H_unsyncopated","4.167","0.001003","-0.65584","0"
"10","H_unsyncopated","4.583","0.016381","-0.428439","0"
"10","H_unsyncopated","5","0.080131","0.514256","1"
"11","H_unsyncopated","0.417","0.069248","0.887323","1"
"11","H_unsyncopated","0.833","0.10934","1.734156","0"
"11","H_unsyncopated","1.25","0.124813","2.060985","1"
"11","H_unsyncopated","1.667","-0.019446","-0.986117","0"
"11","H_unsyncopated","2.083","0.001236","-0.549267","0"
"11","H_unsyncopated","2.5","-0.00196","-0.616774","1"
"11","H_unsyncopated","2.917","-0.000699","-0.590124","0"
"11","H_unsyncopated","3.333","0.012736","-0.306346","0"
"11","H_unsyncopated","3.75","0.001323","-0.547415","0"
"11","H_unsyncopated","4.167","-0.005255","-0.686374","0"
"11","H_unsyncopated","4.583","0.014375","-0.271731","0"
"11","H_unsyncopated","5","0.021165","-0.128316","1"
"12","H_unsyncopated","0.417","-0.079939","-1.361317","1"
"12","H_unsyncopated","0.833","-0.007823","-0.650402","0"
"12","H_unsyncopated","1.25","0.266753","2.056374","1"
"12","H_unsyncopated","1.667","-0.000143","-0.574694","0"
"12","H_unsyncopated","2.083","0.040626","-0.172793","0"
"12","H_unsyncopated","2.5","0.132251","0.730452","1"
"12","H_unsyncopated","2.917","-0.020067","-0.771105","0"
"12","H_unsyncopated","3.333","0.05","-0.08038","0"
"12","H_unsyncopated","3.75","0.036715","-0.211344","0"
"12","H_unsyncopated","4.167","0.011007","-0.464778","0"
"12","H_unsyncopated","4.583","0.043086","-0.148535","0"
"12","H_unsyncopated","5","0.225381","1.648521","1"
"13","H_unsyncopated","0.417","0.137813","1.992589","1"
"13","H_unsyncopated","0.833","0.054441","0.074813","0"
"13","H_unsyncopated","1.25","0.077607","0.607683","1"
"13","H_unsyncopated","1.667","-0.002345","-1.231402","0"
"13","H_unsyncopated","2.083","0.002863","-1.111613","0"
"13","H_unsyncopated","2.5","0.076746","0.587888","1"
"13","H_unsyncopated","2.917","0.045945","-0.120625","0"
"13","H_unsyncopated","3.333","0.037342","-0.318502","0"
"13","H_unsyncopated","3.75","0.097062","1.055192","0"
"13","H_unsyncopated","4.167","0.003898","-1.087812","0"
"13","H_unsyncopated","4.583","0.010039","-0.946555","0"
"13","H_unsyncopated","5","0.072853","0.498342","1"
"14","H_unsyncopated","0.417","0.10033","0.835727","1"
"14","H_unsyncopated","0.833","0.071954","0.298644","0"
"14","H_unsyncopated","1.25","0.069517","0.252517","1"
"14","H_unsyncopated","1.667","0.061458","0.099977","0"
"14","H_unsyncopated","2.083","-0.000322","-1.069341","0"
"14","H_unsyncopated","2.5","0.038094","-0.342242","1"
"14","H_unsyncopated","2.917","-0.013574","-1.320171","0"
"14","H_unsyncopated","3.333","0.042181","-0.264884","0"
"14","H_unsyncopated","3.75","0.089515","0.631033","0"
"14","H_unsyncopated","4.167","0.011163","-0.851969","0"
"14","H_unsyncopated","4.583","0.023146","-0.625157","0"
"14","H_unsyncopated","5","0.180644","2.355866","1"
"1","H_syncopated","0.417","0.149496","1.080905","1"
"1","H_syncopated","0.833","0.174257","1.472218","0"
"1","H_syncopated","1.25","0.138297","0.903924","1"
"1","H_syncopated","1.667","0.005454","-1.195432","0"
"1","H_syncopated","2.083","0.108476","0.432654","0"
"1","H_syncopated","2.5","0.048216","-0.519661","1"
"1","H_syncopated","2.917","0.063942","-0.271132","0"
"1","H_syncopated","3.333","0.028455","-0.831951","0"
"1","H_syncopated","3.75","-0.014629","-1.512813","0"
"1","H_syncopated","4.167","0.092003","0.17232","0"
"1","H_syncopated","4.583","0.028903","-0.82487","0"
"1","H_syncopated","5","0.150314","1.093838","1"
"2","H_syncopated","0.417","0.047227","0.188359","1"
"2","H_syncopated","0.833","0.124764","2.262944","0"
"2","H_syncopated","1.25","0.018809","-0.571977","1"
"2","H_syncopated","1.667","0.000408","-1.064318","0"
"2","H_syncopated","2.083","0.026709","-0.360619","0"
"2","H_syncopated","2.5","0.079784","1.059443","1"
"2","H_syncopated","2.917","0.044789","0.123148","0"
"2","H_syncopated","3.333","-0.012646","-1.413573","0"
"2","H_syncopated","3.75","0.031241","-0.239342","0"
"2","H_syncopated","4.167","0.026683","-0.361295","0"
"2","H_syncopated","4.583","0.022744","-0.466703","0"
"2","H_syncopated","5","0.071729","0.843933","1"
"3","H_syncopated","0.417","-0.00025","-1.354702","1"
"3","H_syncopated","0.833","0.145157","1.552435","0"
"3","H_syncopated","1.25","0.014926","-1.051278","1"
"3","H_syncopated","1.667","0.057178","-0.206523","0"
"3","H_syncopated","2.083","0.13122","1.273796","0"
"3","H_syncopated","2.5","0.049192","-0.366194","1"
"3","H_syncopated","2.917","0.035948","-0.630991","0"
"3","H_syncopated","3.333","0.058309","-0.183927","0"
"3","H_syncopated","3.75","0.003102","-1.287678","0"
"3","H_syncopated","4.167","0.10807","0.81095","0"
"3","H_syncopated","4.583","0.11227","0.894932","0"
"3","H_syncopated","5","0.094977","0.549181","1"
"4","H_syncopated","0.417","-0.052666","-1.324773","1"
"4","H_syncopated","0.833","0.098388","0.225035","0"
"4","H_syncopated","1.25","0.333557","2.637846","1"
"4","H_syncopated","1.667","0.036282","-0.41217","0"
"4","H_syncopated","2.083","0.146079","0.714341","0"
"4","H_syncopated","2.5","0.068329","-0.08337","1"
"4","H_syncopated","2.917","0.13057","0.555215","0"
"4","H_syncopated","3.333","0.021504","-0.563794","0"
"4","H_syncopated","3.75","0.032922","-0.446649","0"
"4","H_syncopated","4.167","0.004011","-0.743274","0"
"4","H_syncopated","4.583","0.040802","-0.365797","0"
"4","H_syncopated","5","0.057682","-0.192612","1"
"5","H_syncopated","0.417","0.022534","-1.190294","1"
"5","H_syncopated","0.833","0.221372","2.215293","0"
"5","H_syncopated","1.25","0.095015","0.051128","1"
"5","H_syncopated","1.667","0.121563","0.505823","0"
"5","H_syncopated","2.083","0.144166","0.89295","0"
"5","H_syncopated","2.5","0.120797","0.4927","1"
"5","H_syncopated","2.917","0.077105","-0.255631","0"
"5","H_syncopated","3.333","0.115817","0.407415","0"
"5","H_syncopated","3.75","0.016816","-1.288235","0"
"5","H_syncopated","4.167","0.061526","-0.522467","0"
"5","H_syncopated","4.583","0.078491","-0.2319","0"
"5","H_syncopated","5","0.029162","-1.076781","1"
"6","H_syncopated","0.417","-0.066613","-1.626051","1"
"6","H_syncopated","0.833","0.0983","1.123449","0"
"6","H_syncopated","1.25","0.004614","-0.438524","1"
"6","H_syncopated","1.667","-0.040886","-1.19712","0"
"6","H_syncopated","2.083","0.007517","-0.390127","0"
"6","H_syncopated","2.5","-0.01505","-0.766376","1"
"6","H_syncopated","2.917","0.022823","-0.13495","0"
"6","H_syncopated","3.333","0.009588","-0.355596","0"
"6","H_syncopated","3.75","0.070407","0.658405","0"
"6","H_syncopated","4.167","0.070374","0.65784","0"
"6","H_syncopated","4.583","0.07025","0.655788","0"
"6","H_syncopated","5","0.139675","1.813262","1"
"7","H_syncopated","0.417","-0.013923","-1.974537","1"
"7","H_syncopated","0.833","0.064935","1.435058","0"
"7","H_syncopated","1.25","0.037405","0.24473","1"
"7","H_syncopated","1.667","0.051097","0.836727","0"
"7","H_syncopated","2.083","0.026542","-0.224929","0"
"7","H_syncopated","2.5","0.034768","0.130709","1"
"7","H_syncopated","2.917","0.032328","0.025201","0"
"7","H_syncopated","3.333","0.022502","-0.399644","0"
"7","H_syncopated","3.75","0.004294","-1.1869","0"
"7","H_syncopated","4.167","0.030673","-0.046319","0"
"7","H_syncopated","4.583","0.022203","-0.412574","0"
"7","H_syncopated","5","0.068113","1.572478","1"
"8","H_syncopated","0.417","0.079137","0.87227","1"
"8","H_syncopated","0.833","0.053493","0.255295","0"
"8","H_syncopated","1.25","0.100168","1.37828","1"
"8","H_syncopated","1.667","-0.026474","-1.668684","0"
"8","H_syncopated","2.083","-0.019292","-1.495885","0"
"8","H_syncopated","2.5","0.049107","0.149766","1"
"8","H_syncopated","2.917","0.014926","-0.672604","0"
"8","H_syncopated","3.333","0.052392","0.228812","0"
"8","H_syncopated","3.75","0.022607","-0.487811","0"
"8","H_syncopated","4.167","0.049845","0.167529","0"
"8","H_syncopated","4.583","0.031602","-0.271401","0"
"8","H_syncopated","5","0.107074","1.544432","1"
"9","H_syncopated","0.417","0.030314","-0.741305","1"
"9","H_syncopated","0.833","0.126093","0.981233","0"
"9","H_syncopated","1.25","0.049748","-0.391792","1"
"9","H_syncopated","1.667","0.110133","0.694199","0"
"9","H_syncopated","2.083","0.040871","-0.551449","0"
"9","H_syncopated","2.5","0.0528","-0.336902","1"
"9","H_syncopated","2.917","0.05017","-0.384216","0"
"9","H_syncopated","3.333","0.045886","-0.46125","0"
"9","H_syncopated","3.75","0.022256","-0.886223","0"
"9","H_syncopated","4.167","0.066511","-0.090328","0"
"9","H_syncopated","4.583","0.044505","-0.486101","0"
"9","H_syncopated","5","0.219112","2.654133","1"
"10","H_syncopated","0.417","0.228181","2.319097","1"
"10","H_syncopated","0.833","0.182722","1.626382","0"
"10","H_syncopated","1.25","0.078598","0.039745","1"
"10","H_syncopated","1.667","0.063065","-0.196936","0"
"10","H_syncopated","2.083","0.042077","-0.516759","0"
"10","H_syncopated","2.5","0.060757","-0.232116","1"
"10","H_syncopated","2.917","0.034568","-0.631179","0"
"10","H_syncopated","3.333","0.033054","-0.654241","0"
"10","H_syncopated","3.75","0.025384","-0.771127","0"
"10","H_syncopated","4.167","0.012689","-0.964566","0"
"10","H_syncopated","4.583","0.051556","-0.372317","0"
"10","H_syncopated","5","0.099222","0.354017","1"
"11","H_syncopated","0.417","0.186979","2.162626","1"
"11","H_syncopated","0.833","0.172399","1.924839","0"
