ID,condition,freq,phase
12,H_unsyncopated,2.083,0.752512
12,H_unsyncopated,2.500,0.311317
12,H_unsyncopated,2.917,-0.755699
12,H_unsyncopated,3.333,-1.240984
12,H_unsyncopated,3.750,1.673619
12,H_unsyncopated,4.167,-1.915974
12,H_unsyncopated,4.583,2.559176
12,H_unsyncopated,5.000,-1.496117
13,H_unsyncopated,0.417,-1.718623
13,H_unsyncopated,0.833,1.703468
13,H_unsyncopated,1.250,1.405542
13,H_unsyncopated,1.667,-1.421161
13,H_unsyncopated,2.083,-1.884327
13,H_unsyncopated,2.500,1.731250
13,H_unsyncopated,2.917,-1.930232
13,H_unsyncopated,3.333,1.843575
13,H_unsyncopated,3.750,1.092893
13,H_unsyncopated,4.167,-0.831180
13,H_unsyncopated,4.583,-1.227792
13,H_unsyncopated,5.000,0.432433
14,H_unsyncopated,0.417,-2.447200
14,H_unsyncopated,0.833,-1.834681
14,H_unsyncopated,1.250,0.824022
14,H_unsyncopated,1.667,0.934797
14,H_unsyncopated,2.083,-0.707868
14,H_unsyncopated,2.500,-2.257653
14,H_unsyncopated,2.917,0.474491
14,H_unsyncopated,3.333,1.415804
14,H_unsyncopated,3.750,0.340512
14,H_unsyncopated,4.167,0.746094
14,H_unsyncopated,4.583,1.294516
14,H_unsyncopated,5.000,-0.281409
1,H_syncopated,0.417,-0.491807
1,H_syncopated,0.833,0.510152
1,H_syncopated,1.250,-2.601286
1,H_syncopated,1.667,-1.613722
1,H_syncopated,2.083,-2.478313
1,H_syncopated,2.500,-2.132020
1,H_syncopated,2.917,0.932473
1,H_syncopated,3.333,2.049327
1,H_syncopated,3.750,2.196708
1,H_syncopated,4.167,0.597190
1,H_syncopated,4.583,0.503160
1,H_syncopated,5.000,-0.510689
2,H_syncopated,0.417,0.755201
2,H_syncopated,0.833,1.356429
2,H_syncopated,1.250,-1.839288
2,H_syncopated,1.667,0.616369
2,H_syncopated,2.083,-1.089271
2,H_syncopated,2.500,-2.014547
2,H_syncopated,2.917,-1.014946
2,H_syncopated,3.333,-0.164008
