"ID","condition","binshift","freq","r"
"1","H_unsyncopated","-12","2.083","0.380941"
"1","H_unsyncopated","-12","2.5","0.325127"
"1","H_unsyncopated","-12","2.917","0.161936"
"1","H_unsyncopated","-12","3.333","0.602911"
"1","H_unsyncopated","-12","3.75","0.681605"
"1","H_unsyncopated","-12","4.167","0.726638"
"1","H_unsyncopated","-12","4.583","0.178581"
"1","H_unsyncopated","-12","5","0.03235"
"1","H_unsyncopated","-11","0.417","0.678842"
"1","H_unsyncopated","-11","0.833","0.191223"
"1","H_unsyncopated","-11","1.25","0.197175"
"1","H_unsyncopated","-11","1.667","0.254696"
"1","H_unsyncopated","-11","2.083","0.491778"
"1","H_unsyncopated","-11","2.5","0.387766"
"1","H_unsyncopated","-11","2.917","0.728381"
"1","H_unsyncopated","-11","3.333","0.774432"
"1","H_unsyncopated","-11","3.75","0.277133"
"1","H_unsyncopated","-11","4.167","0.394432"
"1","H_unsyncopated","-11","4.583","0.267964"
"1","H_unsyncopated","-11","5","0.391914"
"1","H_unsyncopated","-10","0.417","0.40832"
"1","H_unsyncopated","-10","0.833","0.281456"
"1","H_unsyncopated","-10","1.25","0.806458"
"1","H_unsyncopated","-10","1.667","0.198001"
"1","H_unsyncopated","-10","2.083","0.221573"
"1","H_unsyncopated","-10","2.5","0.59116"
"1","H_unsyncopated","-10","2.917","0.364172"
"1","H_unsyncopated","-10","3.333","0.286669"
"1","H_unsyncopated","-10","3.75","0.320926"
"1","H_unsyncopated","-10","4.167","0.610933"
"1","H_unsyncopated","-10","4.583","0.563246"
"1","H_unsyncopated","-10","5","0.886859"
"1","H_unsyncopated","-9","0.417","0.566197"
"1","H_unsyncopated","-9","0.833","0.28937"
"1","H_unsyncopated","-9","1.25","0.165058"
"1","H_unsyncopated","-9","1.667","0.505829"
"1","H_unsyncopated","-9","2.083","0.551337"
"1","H_unsyncopated","-9","2.5","0.638423"
"1","H_unsyncopated","-9","2.917","0.29462"
"1","H_unsyncopated","-9","3.333","0.127911"
"1","H_unsyncopated","-9","3.75","0.161645"
"1","H_unsyncopated","-9","4.167","0.479226"
"1","H_unsyncopated","-9","4.583","0.451292"
"1","H_unsyncopated","-9","5","0.382072"
"1","H_unsyncopated","-8","0.417","0.452262"
"1","H_unsyncopated","-8","0.833","0.165973"
"1","H_unsyncopated","-8","1.25","0.49885"
"1","H_unsyncopated","-8","1.667","0.626218"
"1","H_unsyncopated","-8","2.083","0.27655"
"1","H_unsyncopated","-8","2.5","0.246879"
"1","H_unsyncopated","-8","2.917","0.741424"
"1","H_unsyncopated","-8","3.333","0.470575"
"1","H_unsyncopated","-8","3.75","0.354549"
"1","H_unsyncopated","-8","4.167","0.170622"
"1","H_unsyncopated","-8","4.583","0.58409"
"1","H_unsyncopated","-8","5","0.246753"
"1","H_unsyncopated","-7","0.417","0.629596"
"1","H_unsyncopated","-7","0.833","0.259022"
"1","H_unsyncopated","-7","1.25","0.384481"
"1","H_unsyncopated","-7","1.667","0.144347"
"1","H_unsyncopated","-7","2.083","0.527511"
"1","H_unsyncopated","-7","2.5","0.150499"
"1","H_unsyncopated","-7","2.917","0.297699"
"1","H_unsyncopated","-7","3.333","0.389877"
"1","H_unsyncopated","-7","3.75","0.170525"
"1","H_unsyncopated","-7","4.167","0.231099"
"1","H_unsyncopated","-7","4.583","0.359176"
"1","H_unsyncopated","-7","5","0.670483"
"1","H_unsyncopated","-6","0.417","0.260649"
"1","H_unsyncopated","-6","0.833","0.61724"
"1","H_unsyncopated","-6","1.25","0.524404"
"1","H_unsyncopated","-6","1.667","0.378874"
"1","H_unsyncopated","-6","2.083","0.536194"
"1","H_unsyncopated","-6","2.5","0.425479"
"1","H_unsyncopated","-6","2.917","0.413152"
"1","H_unsyncopated","-6","3.333","0.420519"
"1","H_unsyncopated","-6","3.75","0.467271"
"1","H_unsyncopated","-6","4.167","0.405353"
"1","H_unsyncopated","-6","4.583","0.482281"
"1","H_unsyncopated","-6","5","0.325289"
"1","H_unsyncopated","-5","0.417","0.127142"
"1","H_unsyncopated","-5","0.833","0.624579"
"1","H_unsyncopated","-5","1.25","0.890513"
"1","H_unsyncopated","-5","1.667","0.331287"
"1","H_unsyncopated","-5","2.083","0.567436"
"1","H_unsyncopated","-5","2.5","0.267781"
"1","H_unsyncopated","-5","2.917","0.698192"
